file,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
001_Genesis_id_1_Sensor_tr_4055_1st_15538.csv,2.1854312419891357,0.003126843860430324,0.5126134817563389,0.006756332391923381,0.6752326847438253,0.010972021669514581,0.12198221092757307,0.010796804145972779,0.09748667728848112,0.7068076176551765
002_MSL_id_1_Sensor_tr_500_1st_900.csv,0.2966907024383545,0.6533466955841385,0.9834801762114538,0.5924666966700266,0.9937981618683539,0.705877785496682,1.0,0.9999999999999996,0.7777777777777778,0.9995768723398955
003_MSL_id_2_Sensor_tr_883_1st_1238.csv,0.3354828357696533,0.4554253608348352,0.8037509482808928,0.4855943290184627,0.8488583406705781,0.4456778163283363,1.0,0.9999999999999996,0.4487551220914907,0.9862262216530404
005_MSL_id_4_Sensor_tr_855_1st_2700.csv,0.3154139518737793,0.07388241279688781,0.8318013122002682,0.08458432790466375,0.8634040647945004,0.16215947543206466,0.9403973509933775,0.2352941176470586,0.19059107358262967,0.7284922651448257
006_MSL_id_5_Sensor_tr_1150_1st_1250.csv,0.5693216323852539,0.42325614491527763,0.783765792559445,0.4177558802972404,0.788786775081366,0.4749291043807728,0.9941245593419507,0.901960784313725,0.3796093009482457,0.9028895891803735
007_MSL_id_6_Sensor_tr_980_1st_3550.csv,0.31703853607177734,0.84362178703944,0.9803695332627352,0.882042987353599,0.9925961253427202,0.7952707691407684,1.0,0.9999999999999996,0.8294573643410853,0.9988783864993905
008_MSL_id_7_Sensor_tr_656_1st_1630.csv,0.3046565055847168,0.9758797574164825,0.9948375341633768,0.9914228177464701,0.9989783051344754,0.9590859095301941,1.0,0.9999999999999996,0.9488091792785278,0.9996570765373666
009_MSL_id_8_Sensor_tr_714_1st_1390.csv,0.3049430847167969,0.15733608606151106,0.6922314604854287,0.24688613354381958,0.9026248056376583,0.26666246673281563,0.9767441860465117,0.7999999999999995,0.3558647261936666,0.9888425492954575
010_MSL_id_9_Sensor_tr_554_1st_1172.csv,0.2946326732635498,0.04278513093820164,0.5408873775402802,0.055571409338895615,0.6251183876756609,0.0966139132479133,0.8571428571428571,0.2352941176470586,0.11441307578008916,0.6672121853966108
012_MSL_id_11_Sensor_tr_539_1st_940.csv,0.294025182723999,0.8221754535568415,0.9887114258871142,0.8694693756054814,0.9932604695468131,0.7101992356848773,1.0,0.9999999999999996,0.7343358395989975,0.9961529862185162
